mapping_id,user_id_fk,project_id_fk,can_read,can_create,can_update,can_delete
M001,U001,K-2024-001,TRUE,TRUE,TRUE,TRUE
M002,U001,K-2024-042,TRUE,TRUE,TRUE,TRUE
M003,U001,K-2024-089,TRUE,TRUE,TRUE,TRUE
M004,U002,K-2024-001,TRUE,TRUE,TRUE,FALSE
M005,U002,K-2024-042,TRUE,TRUE,TRUE,FALSE
M006,U002,K-2024-089,TRUE,TRUE,TRUE,FALSE
M007,U003,K-2024-001,TRUE,TRUE,TRUE,FALSE
M008,U003,K-2024-042,TRUE,FALSE,FALSE,FALSE
M009,U004,K-2024-001,TRUE,TRUE,TRUE,FALSE
M010,U005,K-2024-001,TRUE,FALSE,FALSE,FALSE
M011,U005,K-2024-042,TRUE,FALSE,FALSE,FALSE
